TableName,ColumnName,PandasDataType
Activity_Status,status_code,string
Activity_Status,Description,string
Metrics,Column1,string
Mstdate,Year,object
Mstdate,Month,object
Mstdate,week,object
P6,Activity_ID,string
P6,Activity_name,string
P6,Key,string
P6,wbs_id_key,string
P6,Task Name,object
P6_Calendars,clndr_id,string
P6_Calendars,default_flag,string
P6_Calendars,clndr_name,string
P6_Calendars,proj_id,string
P6_Calendars,base_clndr_id,string
P6_Calendars,last_chng_date,datetime64[ns]
P6_Calendars,clndr_type,string
P6_Calendars,day_hr_cnt,Float64
P6_Calendars,week_hr_cnt,Float64
P6_Calendars,month_hr_cnt,Float64
P6_Calendars,year_hr_cnt,Float64
P6_Calendars,rsrc_private,string
P6_Calendars,clndr_id_key,string
PREDECESSOR,pred_task_id,string
PREDECESSOR,proj_id,string
PREDECESSOR,pred_proj_id,string
PREDECESSOR,pred_type,string
PREDECESSOR,lag_hr_cnt,Float64
PREDECESSOR,Task_id_key,string
PREDECESSOR,pred_task_id_key,string
PREDECESSOR,Activity_ID,object
PREDECESSOR,predecessor_ID,object
PREDECESSOR,predecessor_ID_Name,object
PREDECESSOR,predecessor_ID_Finish,object
PREDECESSOR,float_path,string
PREDECESSOR,Relationship Free Float,Float64
PREDECESSOR,Driving,object
PREDECESSOR,Task_status,object
PREDECESSOR,Hours-Day,object
PREDECESSOR,Lag,object
PROJECT,proj_id,string
PROJECT,proj_short_name,string
PROJECT,last_recalc_date,datetime64[ns]
PROJECT,wbs_short_name,object
PROJECT,Index,Float64
PROJWBS,wbs_id,string
PROJWBS,proj_id,string
PROJWBS,seq_num,Int64
PROJWBS,proj_node_flag,string
PROJWBS,wbs_short_name,string
PROJWBS,wbs_name,string
PROJWBS,parent_wbs_id,string
PROJWBS,wbs_id_Key,string
PROJWBS,Parent_wbs_id_Key,string
PROJWBS,Path,object
PROJWBS,Level_1,object
PROJWBS,Level_2,object
PROJWBS,Level_3,object
PROJWBS,Level_4,object
PROJWBS,Level_5,object
PROJWBS,Sort_2,string
PROJWBS,Sort_3,string
PROJWBS,Sort_4,string
PROJWBS,Sort_5,string
PROJWBS,Master_Sort,object
PROJWBS,Isleaf,object
PROJWBS,Level,object
PROJWBS,Sort_1,string
PROJWBS,Sort_6,string
PROJWBS,Level_6,object
Path_Current,Path,string
Schema,Version,string
TASK,task_id,string
TASK,proj_id,string
TASK,wbs_id,string
TASK,clndr_id,string
TASK,phys_complete_pct,Float64
TASK,rev_fdbk_flag,string
TASK,lock_plan_flag,string
TASK,auto_compute_act_flag,string
TASK,complete_pct_type,string
TASK,task_type,string
TASK,duration_type,string
TASK,status_code,string
TASK,task_code,string
TASK,task_name,string
TASK,rsrc_id,string
TASK,total_float_hr_cnt,Float64
TASK,free_float_hr_cnt,Float64
TASK,remain_drtn_hr_cnt,Float64
TASK,act_work_qty,Float64
TASK,remain_work_qty,Float64
TASK,target_work_qty,Float64
TASK,target_drtn_hr_cnt,Float64
TASK,target_equip_qty,Float64
TASK,act_equip_qty,Float64
TASK,remain_equip_qty,Float64
TASK,cstr_date,datetime64[ns]
TASK,act_start_date,datetime64[ns]
TASK,act_end_date,datetime64[ns]
TASK,late_start_date,datetime64[ns]
TASK,late_end_date,datetime64[ns]
TASK,expect_end_date,datetime64[ns]
TASK,early_start_date,datetime64[ns]
TASK,early_end_date,datetime64[ns]
TASK,restart_date,datetime64[ns]
TASK,reend_date,datetime64[ns]
TASK,target_start_date,datetime64[ns]
TASK,target_end_date,datetime64[ns]
TASK,rem_late_start_date,datetime64[ns]
TASK,rem_late_end_date,datetime64[ns]
TASK,cstr_type,string
TASK,priority_type,string
TASK,suspend_date,string
TASK,resume_date,string
TASK,float_path,string
TASK,float_path_order,string
TASK,guid,string
TASK,tmpl_guid,string
TASK,cstr_date2,string
TASK,cstr_type2,string
TASK,driving_path_flag,string
TASK,act_this_per_work_qty,string
TASK,act_this_per_equip_qty,string
TASK,external_early_start_date,string
TASK,external_late_end_date,string
TASK,create_date,string
TASK,update_date,string
TASK,create_user,string
TASK,update_user,string
TASK,Task_ID_Key,string
TASK,wbs_id_Key,string
TASK,Predecessor,object
TASK,Duration,Float64
TASK,Task Name,object
TASK,%,Float64
TASK,Start,object
TASK,Finish,object
TASK,Hours-Day,object
TASK,Total_Float,object
TASK,Data_Date,object
TASK,rd,Float64
TASK,Remaining_Hours_Day,object
TASK,clndr_id.Key,string
TASK,Activity status,object
