TableName,ColumnName,PandasDataType
Activity_Status,status_code,string
Activity_Status,Description,string
Metrics,Column1,string
Mstdate,Year,object
Mstdate,Month,object
Mstdate,week,object
P6,Activity_ID,string
P6,Activity_name,string
P6,Task_ID_Key,string
P6,wbs_id_Key,string
P6_Calendars,CLNDR_ID,string
P6_Calendars,DEFAULT_FLAG,string
P6_Calendars,CLNDR_NAME,string
P6_Calendars,PROJ_ID,Float64
P6_Calendars,BASE_CLNDR_ID,Float64
P6_Calendars,LAST_CHNG_DATE,datetime64[ns]
P6_Calendars,CLNDR_TYPE,string
P6_Calendars,DAY_HR_CNT,Float64
P6_Calendars,WEEK_HR_CNT,Float64
P6_Calendars,MONTH_HR_CNT,Float64
P6_Calendars,YEAR_HR_CNT,Float64
P6_Calendars,RSRC_PRIVATE,string
P6_Calendars,CREATE_DATE,datetime64[ns]
P6_Calendars,CREATE_USER,string
P6_Calendars,UPDATE_DATE,datetime64[ns]
P6_Calendars,UPDATE_USER,string
P6_Calendars,DELETE_SESSION_ID,Float64
P6_Calendars,DELETE_DATE,datetime64[ns]
PREDECESSOR,Task_id_key,string
PREDECESSOR,pred_task_id_key,string
PREDECESSOR,Activity_ID,object
PREDECESSOR,predecessor_ID,object
PREDECESSOR,task_id,string
PREDECESSOR,pred_task_id,string
PREDECESSOR,proj_id,string
PREDECESSOR,pred_proj_id,Float64
PREDECESSOR,pred_type,string
PREDECESSOR,lag_hr_cnt,Float64
PREDECESSOR,TASK_PRED_ID,Float64
PREDECESSOR,CREATE_DATE,datetime64[ns]
PREDECESSOR,CREATE_USER,string
PREDECESSOR,UPDATE_DATE,datetime64[ns]
PREDECESSOR,UPDATE_USER,string
PREDECESSOR,DELETE_SESSION_ID,Float64
PREDECESSOR,DELETE_DATE,datetime64[ns]
PROJECT,proj_id,string
PROJECT,Project_Name,object
PROJECT,LAST_RECALC_DATE,datetime64[ns]
PROJECT,PROJ_SHORT_NAME,string
PROJWBS,wbs_id_Key,string
PROJWBS,Parent_wbs_id_Key,string
PROJWBS,Path,object
PROJWBS,Level_1,object
PROJWBS,Level_2,object
PROJWBS,Level_3,object
PROJWBS,Level_4,object
PROJWBS,Level_5,object
PROJWBS,Sort_2,Int64
PROJWBS,Sort_3,Int64
PROJWBS,Sort_4,object
PROJWBS,Sort_5,object
PROJWBS,Master_Sort,object
PROJWBS,Isleaf,object
PROJWBS,Level,object
PROJWBS,Sort_1,object
PROJWBS,proj_id,string
PROJWBS,seq_num,Float64
PROJWBS,wbs_short_name,string
PROJWBS,wbs_name,string
Path_Source,Path,string
Schema,Column1,string
Schema,Column2,string
Source,Connections,string
Successor,Task_pred_id_key,string
Successor,task_id,string
Successor,pred_task_id,string
Successor,proj_id,string
Successor,pred_proj_id,string
Successor,pred_type,string
Successor,lag_hr_cnt,Float64
TASK,Task_ID_Key,string
TASK,wbs_id_Key,string
TASK,Predecessor,object
TASK,succesor,object
TASK,Duration,Float64
TASK,Task Name,object
TASK,%,Float64
TASK,Start,object
TASK,Finish,object
TASK,Hours-Day,object
TASK,Total_Float,object
TASK,Data_Date,object
TASK,rd,Float64
TASK,Remaining_Hours_Day,object
TASK,task_id,string
TASK,proj_id,string
TASK,wbs_id,string
TASK,status_code,string
TASK,task_code,string
TASK,task_name,string
TASK,CLNDR_ID,string
TASK,PHYS_COMPLETE_PCT,Float64
TASK,REV_FDBK_FLAG,string
TASK,LOCK_PLAN_FLAG,string
TASK,AUTO_COMPUTE_ACT_FLAG,string
TASK,COMPLETE_PCT_TYPE,string
TASK,TASK_TYPE,string
TASK,DURATION_TYPE,string
TASK,RSRC_ID,Float64
TASK,TOTAL_FLOAT_HR_CNT,Float64
TASK,FREE_FLOAT_HR_CNT,Float64
TASK,REMAIN_DRTN_HR_CNT,Float64
TASK,ACT_WORK_QTY,Float64
TASK,REMAIN_WORK_QTY,Float64
TASK,TARGET_WORK_QTY,Float64
TASK,TARGET_DRTN_HR_CNT,Float64
TASK,TARGET_EQUIP_QTY,Float64
TASK,ACT_EQUIP_QTY,Float64
TASK,REMAIN_EQUIP_QTY,Float64
TASK,CSTR_DATE,datetime64[ns]
TASK,ACT_START_DATE,datetime64[ns]
TASK,ACT_END_DATE,datetime64[ns]
TASK,LATE_START_DATE,datetime64[ns]
TASK,LATE_END_DATE,datetime64[ns]
TASK,EXPECT_END_DATE,datetime64[ns]
TASK,EARLY_START_DATE,datetime64[ns]
TASK,EARLY_END_DATE,datetime64[ns]
TASK,RESTART_DATE,datetime64[ns]
TASK,REEND_DATE,datetime64[ns]
TASK,TARGET_START_DATE,datetime64[ns]
TASK,TARGET_END_DATE,datetime64[ns]
TASK,REM_LATE_START_DATE,datetime64[ns]
TASK,REM_LATE_END_DATE,datetime64[ns]
TASK,CSTR_TYPE,string
TASK,PRIORITY_TYPE,string
TASK,SUSPEND_DATE,datetime64[ns]
TASK,RESUME_DATE,datetime64[ns]
TASK,FLOAT_PATH,Float64
TASK,FLOAT_PATH_ORDER,Float64
TASK,GUID,string
TASK,TMPL_GUID,string
TASK,CSTR_DATE2,datetime64[ns]
TASK,CSTR_TYPE2,string
TASK,DRIVING_PATH_FLAG,string
TASK,ACT_THIS_PER_WORK_QTY,Float64
TASK,ACT_THIS_PER_EQUIP_QTY,Float64
TASK,EXTERNAL_EARLY_START_DATE,datetime64[ns]
TASK,EXTERNAL_LATE_END_DATE,datetime64[ns]
TASK,LOCATION_ID,Float64
TASK,EST_WT,Float64
TASK,CREATE_DATE,datetime64[ns]
TASK,CREATE_USER,string
TASK,UPDATE_DATE,datetime64[ns]
TASK,UPDATE_USER,string
TASK,DELETE_SESSION_ID,Float64
TASK,DELETE_DATE,datetime64[ns]
